Table with row headers in columns A and B and column headers in rows 4 through 5 and 48 through 49,,,,,,,,,,,,,,
"Table 10. Reasons For Not Voting, By Selected Characteristics: November 2024",,,,,,,,,,,,,,
"(Numbers in thousands, Population 18 and Over)",,,,,,,,,,,,,,
Characteristics,,Total not voting1,Percent distribution of reasons for not voting,,,,,,,,,,,
,,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused
Total,,"18,161",12.4,7.4,4.1,19.7,17.8,2.2,14.7,3.6,0.3,2.4,12.2,3.1
Age,18 to 24 years,"2,611",2.8,14.1,5.0,20.4,22.3,2.3,10.1,5.3,0.0,1.6,12.8,3.3
,25 to 44 years,"7,476",6.4,6.3,4.7,21.1,23.6,1.6,14.0,3.5,0.2,3.2,12.2,3.2
,45 to 64 years,"4,960",12.5,7.7,3.5,19.9,15.7,2.1,17.8,3.5,0.6,2.1,12.4,2.4
,65 years and over,"3,115",35.0,4.2,3.1,15.7,3.5,3.8,15.4,2.6,0.3,1.5,11.4,3.6
Sex,Male,"9,071",10.0,8.8,4.6,21.0,18.5,1.6,15.2,3.6,0.2,2.2,11.4,2.7
,Female,"9,090",14.8,6.1,3.7,18.4,17.0,2.8,14.2,3.6,0.4,2.5,13.0,3.4
Race and Hispanic Origin,White alone,"13,295",12.4,7.6,4.5,18.6,17.2,1.9,15.1,4.2,0.3,2.5,12.5,3.0
,White non-Hispanic alone,"10,380",13.4,7.6,4.7,17.4,16.1,2.1,15.7,4.6,0.4,2.4,12.6,3.0
,Black alone,"3,040",13.7,5.0,2.2,23.8,17.1,3.4,15.2,2.1,0.2,2.1,11.1,4.0
,Asian alone,930,10.0,12.6,4.1,19.2,21.4,0.9,12.0,3.1,0.4,1.1,11.2,3.9
,Hispanic (any race),"3,332",9.1,7.7,3.4,23.1,21.8,1.4,12.4,2.7,0.0,2.8,12.8,2.7
,White alone or in combination,"13,790",12.2,7.8,4.5,18.9,17.5,1.9,15.0,4.0,0.3,2.5,12.5,2.9
,Black alone or in combination,"3,354",13.3,5.6,2.1,23.9,18.5,3.1,14.5,1.9,0.2,2.1,11.1,3.6
,Asian alone or in combination,"1,030",9.4,11.9,3.8,20.4,23.1,0.8,12.4,2.8,0.4,1.0,10.3,3.6
Educational attainment,Less than high school graduate,"1,734",20.3,5.6,3.5,18.9,13.6,4.3,11.6,2.7,0.2,1.9,15.5,1.9
,High school graduate,"6,800",12.8,5.2,4.0,22.6,17.3,2.9,14.5,2.9,0.3,2.5,11.6,3.4
,Some College,"5,632",11.9,8.5,4.6,18.8,18.8,1.4,14.7,3.5,0.2,2.5,11.9,3.2
,Bachelor's Degree or more,"3,995",9.2,10.6,3.9,16.5,19.0,1.4,16.4,5.2,0.5,2.2,12.2,2.9
Nativity,Native-born citizen,"16,159",12.6,7.1,4.2,20.2,17.2,2.4,14.8,3.8,0.3,2.4,12.0,3.1
,Naturalized citizen,"2,002",11.3,10.4,3.3,15.9,22.3,1.1,14.4,2.2,0.0,2.6,13.8,2.7
Duration of residence,Less than 1 year,"2,593",8.0,8.9,5.9,15.8,20.0,2.8,12.0,9.8,0.2,1.1,13.5,2.2
,1 to 2 years,"2,657",9.2,6.4,4.4,18.9,23.7,3.4,13.7,3.7,0.2,2.5,10.2,3.8
,3 years or longer,"12,678",13.9,7.4,3.7,20.9,16.2,1.9,15.6,2.3,0.4,2.7,12.4,2.6
,Not reported,234,16.5,6.3,3.1,8.3,14.3,4.5,4.6,2.6,0.0,0.0,11.3,28.5
Region,Northeast,"2,599",14.5,6.9,3.3,19.6,17.6,0.4,15.6,2.9,0.0,2.8,13.6,2.9
,Midwest,"4,174",13.5,6.0,3.4,16.9,17.8,2.4,17.7,3.1,1.1,2.3,13.0,2.9
,South,"7,726",12.8,9.6,3.5,18.1,18.2,3.0,13.3,4.2,0.1,2.7,11.4,3.1
,West,"3,662",8.8,5.0,6.8,26.6,17.0,1.9,13.6,3.5,0.0,1.6,11.9,3.2
Family income2,Total in families,"12,134",11.3,8.0,3.6,20.6,19.0,1.5,14.6,3.0,0.1,2.6,12.3,3.3
,"Under $10,000",331,16.7,7.6,5.5,16.4,8.8,3.7,14.1,2.4,0.0,5.9,14.9,4.0
,"$10,000 to $14,999",285,12.9,5.8,2.9,24.9,18.4,6.9,6.5,0.7,0.0,0.3,16.0,4.6
,"$15,000 to $19,999",245,20.7,3.5,3.9,19.9,17.4,5.1,7.4,2.1,0.0,0.6,19.5,0.0
,"$20,000 to $29,999",798,18.3,3.3,4.6,23.1,11.4,4.0,17.3,3.7,0.0,3.4,9.5,1.4
,"$30,000 to $39,999","1,046",16.7,3.6,2.7,18.5,22.2,3.3,12.9,2.8,0.0,4.4,9.7,3.3
,"$40,000 to $49,999",781,7.8,6.5,2.4,20.2,18.6,1.9,19.8,3.4,0.0,3.4,13.5,2.6
,"$50,000 to $74,999","1,763",14.7,7.6,4.0,23.5,18.8,1.3,12.8,1.5,0.0,1.3,10.6,4.0
,"$75,000 to $99,999","1,442",12.5,6.9,4.5,18.0,22.7,0.4,14.4,3.5,0.3,2.6,10.3,3.9
,"$100,000 to $149,999","1,970",7.2,7.6,3.1,21.4,21.8,0.5,15.5,4.5,0.4,3.1,12.7,2.1
,"$150,000 and over","2,282",3.7,14.7,3.5,18.9,19.5,0.3,17.7,3.6,0.0,2.1,14.4,1.6
,Income not reported,"1,192",15.5,7.0,3.7,21.9,15.6,1.3,9.5,1.5,0.0,2.4,12.8,8.9
Margins of Error3,,,,,,,,,,,,,,
Characteristics,,Total not voting1,Percent distribution of reasons for not voting,,,,,,,,,,,
,,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused
Total,,510,0.9,0.8,0.6,1.1,1.2,0.3,1.2,0.5,0.2,0.5,1.0,0.5
Age,18 to 24 years,186,1.0,2.6,1.5,2.9,3.5,1.0,2.6,1.6,0.0,0.8,2.9,1.2
,25 to 44 years,325,1.1,1.1,0.9,1.9,2.1,0.5,1.6,0.7,0.2,0.8,1.5,0.7
,45 to 64 years,245,1.6,1.4,1.0,2.1,1.8,0.6,2.1,0.9,0.4,0.7,1.8,0.8
,65 years and over,186,2.8,1.4,1.1,2.5,1.3,1.0,2.2,0.9,0.3,0.8,1.9,1.1
Sex,Male,342,1.1,1.1,0.8,1.5,1.5,0.4,1.4,0.7,0.2,0.6,1.2,0.5
,Female,335,1.2,0.8,0.6,1.4,1.4,0.6,1.4,0.6,0.2,0.6,1.4,0.6
Race and Hispanic Origin,White alone,421,1.0,0.8,0.7,1.3,1.3,0.4,1.3,0.6,0.2,0.5,1.1,0.5
,White non-Hispanic alone,368,1.1,0.9,0.7,1.3,1.3,0.4,1.4,0.8,0.2,0.6,1.2,0.6
,Black alone,225,2.6,1.7,1.1,3.5,3.3,1.2,3.4,0.9,0.4,1.2,2.4,1.5
,Asian alone,121,4.1,4.0,2.7,5.1,5.0,1.1,4.2,1.7,0.7,0.9,4.0,2.8
,Hispanic (any race),235,2.0,1.8,1.2,3.2,3.2,0.8,2.4,0.9,0.0,1.1,2.7,1.0
,White alone or in combination,440,1.0,0.8,0.6,1.3,1.3,0.3,1.3,0.6,0.2,0.5,1.1,0.5
,Black alone or in combination,238,2.4,1.8,1.0,3.5,3.3,1.1,3.3,0.8,0.3,1.4,2.3,1.4
,Asian alone or in combination,128,3.7,3.7,2.5,4.8,5.0,1.0,3.9,1.5,0.7,0.8,3.6,2.5
Educational attainment,Less than high school graduate,153,3.6,2.4,1.6,3.3,3.1,1.6,2.9,1.3,0.4,1.3,3.2,1.4
,High school graduate,308,1.5,0.9,0.8,1.7,1.9,0.6,1.7,0.6,0.2,0.7,1.4,0.7
,Some College,272,1.5,1.4,1.0,2.1,1.9,0.5,1.8,0.7,0.2,0.8,1.8,0.8
,Bachelor's Degree or more,217,1.5,1.6,1.1,2.3,2.3,0.7,2.3,1.3,0.4,0.9,2.1,1.0
Nativity,Native-born citizen,483,0.9,0.8,0.6,1.2,1.2,0.4,1.2,0.5,0.2,0.6,1.0,0.5
,Naturalized citizen,181,2.4,2.9,1.5,3.3,3.7,0.7,3.2,1.1,0.0,1.2,3.1,1.4
Duration of residence,Less than 1 year,221,2.0,1.9,1.8,3.0,3.5,1.0,2.7,2.1,0.3,0.6,2.8,1.0
,1 to 2 years,199,2.2,1.8,1.5,3.0,3.1,1.3,2.7,1.3,0.3,1.2,2.3,1.3
,3 years or longer,444,1.0,1.0,0.6,1.4,1.3,0.4,1.5,0.5,0.2,0.7,1.2,0.5
,Not reported,59,10.1,7.3,3.7,6.6,9.9,5.4,4.3,3.5,0.0,0.0,6.9,14.0
Region,Northeast,208,2.5,2.1,1.2,2.9,3.3,0.3,3.0,1.1,0.0,1.6,3.0,1.1
,Midwest,276,1.9,1.5,1.0,2.2,2.4,0.8,2.7,0.8,0.6,0.9,2.1,0.9
,South,344,1.5,1.3,0.8,1.6,1.8,0.6,1.5,0.8,0.2,0.8,1.5,0.8
,West,225,1.7,1.2,1.7,3.0,2.4,0.7,2.4,0.9,0.0,0.7,2.1,1.0
Family income2,Total in families,464,1.0,1.0,0.7,1.4,1.5,0.4,1.5,0.5,0.1,0.7,1.3,0.6
,"Under $10,000",72,7.1,5.8,4.1,7.2,5.3,3.0,7.4,2.7,0.0,6.3,7.4,4.8
,"$10,000 to $14,999",75,6.3,4.9,2.6,9.1,14.3,4.8,6.2,1.2,0.0,0.5,9.7,5.4
,"$15,000 to $19,999",67,8.4,3.4,4.4,9.0,8.9,5.3,5.8,2.9,0.0,0.8,11.0,0.0
,"$20,000 to $29,999",113,5.5,2.0,3.0,5.8,4.7,2.4,5.9,2.1,0.0,2.9,3.6,1.5
,"$30,000 to $39,999",131,4.2,2.3,1.5,4.7,5.7,1.9,4.4,1.5,0.0,2.6,3.4,2.1
,"$40,000 to $49,999",130,3.2,3.7,1.9,6.1,5.7,1.8,6.2,2.1,0.0,3.8,5.3,1.8
,"$50,000 to $74,999",172,3.4,2.9,1.6,4.1,3.8,0.9,3.5,0.8,0.0,1.1,2.8,2.1
,"$75,000 to $99,999",149,3.0,2.6,2.3,3.9,4.5,0.4,4.1,1.5,0.5,1.3,3.4,1.7
,"$100,000 to $149,999",188,2.1,2.1,1.2,4.1,4.2,0.6,3.9,1.9,0.5,1.7,3.3,1.1
,"$150,000 and over",204,1.2,2.7,1.3,3.1,3.6,0.4,3.4,1.3,0.0,1.0,3.2,0.9
,Income not reported,143,3.6,3.0,2.3,4.8,3.5,1.0,3.6,1.2,0.0,1.9,3.6,3.1
,,,,,,,,,,,,,,
1 Only individuals who report not voting but also report being registered are asked the question about reason for not voting.,,,,,,,,,,,,,,
"2 Family income is limited to persons who report income or refuse to answer the income question. Respondents who report not knowing their income are not included in this section, which includes only the reference person with relatives in the household or people with the following relationship to the householder: spouse, child, grandchild, parent, sibling, or other relative. This section excludes foster children, unmarried partners, non-relatives, and roommates.",,,,,,,,,,,,,,
3 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,
Estimates may not sum to totals due to rounding.,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www.census.gov/programs-surveys/cps/technical-documentation/complete.24.html>",,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey Public-Use Data, November 2024",,,,,,,,,,,,,,